feature,coefficient,abs_coefficient
numeric__finished_jobs,0.0900070399300626,0.0900070399300626
categorical__node_232,0.08442991220202717,0.08442991220202717
numeric__dominant_hour_of_day,-0.07022605692301284,0.07022605692301284
categorical__node_166,0.06964596666520492,0.06964596666520492
categorical__node_239,0.06870169159210224,0.06870169159210224
categorical__node_53,0.0656474758696408,0.0656474758696408
numeric__weekend_jobs,-0.0654928062022866,0.0654928062022866
categorical__node_165,0.0638821464012735,0.0638821464012735
categorical__node_168,0.06259178858262532,0.06259178858262532
categorical__node_91,0.05707712154321833,0.05707712154321833
numeric__avg_queue_wait_seconds_rolling_6h,-0.04900776661506074,0.04900776661506074
numeric__unique_users_rolling_6h,0.04572916343609049,0.04572916343609049
numeric__unique_users_lag_1h,-0.04520609339970314,0.04520609339970314
categorical__node_75,0.04432114944806348,0.04432114944806348
numeric__aborted_jobs,0.03938818492643911,0.03938818492643911
numeric__other_status_jobs,0.03686540882095333,0.03686540882095333
numeric__job_count_lag_1h,-0.03602493286030297,0.03602493286030297
numeric__avg_cpu_time_per_proc,0.03458836686487946,0.03458836686487946
numeric__aborted_job_ratio,-0.033471720441864986,0.033471720441864986
numeric__unique_users,-0.03140875304330413,0.03140875304330413
numeric__job_count_rolling_6h,-0.027704187969521805,0.027704187969521805
numeric__avg_queue_wait_seconds_lag_1h,0.027507807187236707,0.027507807187236707
numeric__total_cpu_time_lag_1h,-0.01611360695956326,0.01611360695956326
numeric__total_cpu_time_rolling_6h,-0.011900420607221468,0.011900420607221468
numeric__failed_job_ratio,-0.010174019505647188,0.010174019505647188
numeric__avg_cpu_user_ratio,0.008061114561762919,0.008061114561762919
numeric__avg_requested_procs_per_node,-0.007014990929095487,0.007014990929095487
numeric__failed_jobs,0.006024067297114326,0.006024067297114326
numeric__total_cpu_system_time,-0.001685880948688155,0.001685880948688155
numeric__killed_jobs,3.495544397021923e-05,3.495544397021923e-05
numeric__missing_status_jobs,0.0,0.0
